ENSMUSG00000000290
ENSMUSG00000000594
ENSMUSG00000002565
ENSMUSG00000003420
ENSMUSG00000005540
ENSMUSG00000008461
ENSMUSG00000013236
ENSMUSG00000017737
ENSMUSG00000018930
ENSMUSG00000019122
ENSMUSG00000019850
ENSMUSG00000020423
ENSMUSG00000022180
ENSMUSG00000022494
ENSMUSG00000023274
ENSMUSG00000025151
ENSMUSG00000025743
ENSMUSG00000026012
ENSMUSG00000027962
ENSMUSG00000029919
ENSMUSG00000029925
ENSMUSG00000030054
ENSMUSG00000030748
ENSMUSG00000030785
ENSMUSG00000031004
ENSMUSG00000032221
ENSMUSG00000033998
ENSMUSG00000034220
ENSMUSG00000040998
ENSMUSG00000041329
ENSMUSG00000042262
ENSMUSG00000043831
ENSMUSG00000047415
ENSMUSG00000056290
ENSMUSG00000058715
ENSMUSG00000061353
ENSMUSG00000068227
ENSMUSG00000075370
ENSMUSG00000079419
ENSMUSG00000000078
ENSMUSG00000001270
ENSMUSG00000004951
ENSMUSG00000005125
ENSMUSG00000006389
ENSMUSG00000008193
ENSMUSG00000008843
ENSMUSG00000015053
ENSMUSG00000015314
ENSMUSG00000015316
ENSMUSG00000015340
ENSMUSG00000015355
ENSMUSG00000020160
ENSMUSG00000020484
ENSMUSG00000020592
ENSMUSG00000020641
ENSMUSG00000021360
ENSMUSG00000023367
ENSMUSG00000024065
ENSMUSG00000024066
ENSMUSG00000024242
ENSMUSG00000024610
ENSMUSG00000024924
ENSMUSG00000025094
ENSMUSG00000025278
ENSMUSG00000025993
ENSMUSG00000027368
ENSMUSG00000029561
ENSMUSG00000030137
ENSMUSG00000030470
ENSMUSG00000031138
ENSMUSG00000031838
ENSMUSG00000032578
ENSMUSG00000032841
ENSMUSG00000034641
ENSMUSG00000034664
ENSMUSG00000036362
ENSMUSG00000037075
ENSMUSG00000038179
ENSMUSG00000038642
ENSMUSG00000044162
ENSMUSG00000045730
ENSMUSG00000046805
ENSMUSG00000048779
ENSMUSG00000050075
ENSMUSG00000051212
ENSMUSG00000052681
ENSMUSG00000054752
ENSMUSG00000056054
ENSMUSG00000056071
ENSMUSG00000056749
ENSMUSG00000057329
ENSMUSG00000066363
ENSMUSG00000090942
ENSMUSG00000101856
ENSMUSG00000001946
ENSMUSG00000003623
ENSMUSG00000005474
ENSMUSG00000015396
ENSMUSG00000021091
ENSMUSG00000021423
ENSMUSG00000021609
ENSMUSG00000022885
ENSMUSG00000023034
ENSMUSG00000023132
ENSMUSG00000024295
ENSMUSG00000024397
ENSMUSG00000024621
ENSMUSG00000025014
ENSMUSG00000025351
ENSMUSG00000027499
ENSMUSG00000029299
ENSMUSG00000030724
ENSMUSG00000031074
ENSMUSG00000031722
ENSMUSG00000032231
ENSMUSG00000038418
ENSMUSG00000038496
ENSMUSG00000039109
ENSMUSG00000039634
ENSMUSG00000040747
ENSMUSG00000041225
ENSMUSG00000041272
ENSMUSG00000044786
ENSMUSG00000046879
ENSMUSG00000048376
ENSMUSG00000048520
ENSMUSG00000049625
ENSMUSG00000052160
ENSMUSG00000053137
ENSMUSG00000058470
ENSMUSG00000059305
ENSMUSG00000071714
ENSMUSG00000074607
ENSMUSG00000078122
ENSMUSG00000001128
ENSMUSG00000002602
ENSMUSG00000005371
